"CUSTOMER_ID","APPROVABLE","COLLEGE","RESIDENTIAL","MAX_NUM_OVERDUES_1_YEAR","MONTHS_SINCE_60DAY_OVER","AVG_OVERDRAFT_BALANCE","AVG_CREDIT_UTILIZATION","DEBT_INCOME_RATIO","MONTHS_CREDIT_ESTABLISH","CREDIT_QUERIES_6MONTHS","NUM_CREDIT_CARDS","LOAN_AMT","APR"
34274.0,0.0,"Bachelors","Other",0.0,0.0,1979.166812448,0.48532432998108,0.47982066864574,106.0,11.0,5.0,448180.8905,0.0896361781
174240.0,0.0,"None","Rent",0.0,13.0,1335.58293718,0.22719525745335,0.47864520503945,79.0,5.0,3.0,314995.97575,0.06299919515
9434.0,1.0,"None","Rent",0.0,0.0,1342.754895093,0.63196550128628,0.27583060692366,80.0,2.0,4.0,254888.93225,0.05097778645
69251.0,1.0,"None","Own",0.0,0.0,894.905748,0.5483440056624,0.31440371105856,94.0,3.0,1.0,271183.56,0.054236712
39518.0,1.0,"Bachelors","Rent",0.0,0.0,923.309534676,0.40498135541814,0.45296198708909,67.0,3.0,3.0,271242.519,0.0542485038
40070.0,1.0,"Bachelors","Own",0.0,0.0,1596.364345344,0.20261199694465,0.50793226748725,16.0,9.0,2.0,389737.389,0.0779474778
8238.0,1.0,"None","Other",0.0,0.0,1255.56829375,0.79160366666106,0.28974699292137,34.0,2.0,1.0,251113.65875,0.05022273175
60310.0,1.0,"Advanced","Own",0.0,0.0,348.839914192,0.20368803152452,0.37233894713261,64.0,5.0,4.0,253517.3795,0.0507034759
92803.0,1.0,"None","Other",1.0,0.0,1448.707709673,0.096523701911154,0.24926294416432,76.0,12.0,4.0,338167.06575,0.06763341315
93999.0,1.0,"None","Rent",0.0,0.0,1260.2660952,0.52946479229556,0.29898012728484,72.0,13.0,2.0,450095.034,0.0900190068
70631.0,0.0,"Bachelors","Other",0.0,0.0,1155.596010615,0.29154430965057,0.26713734874776,28.0,0.0,4.0,345160.09875,0.06903201975
12102.0,1.0,"Bachelors","Own",0.0,0.0,848.591130824,0.012105346321818,0.36767472216776,93.0,13.0,1.0,269223.0745,0.0538446149
23878.0,0.0,"None","Own",0.0,0.0,432.07514046,1.2658601406754,0.54218708958878,123.0,0.0,0.0,400069.5745,0.0800139149
154184.0,1.0,"Bachelors","Own",0.0,0.0,1530.899986472,0.35873624080808,0.25709900849453,81.0,8.0,6.0,349201.63925,0.06984032785
179208.0,0.0,"None","Rent",0.0,0.0,878.538378928,0.50844960446591,0.53225194337766,69.0,0.0,0.0,280146.16675,0.05602923335
24430.0,1.0,"None","Other",0.0,0.0,2011.654681365,0.52480546174433,0.26022461312148,69.0,5.0,1.0,271112.49075,0.05422249815
14310.0,1.0,"Advanced","Own",0.0,0.0,588.625512384,0.3437815557781,0.62843050410744,107.0,8.0,6.0,404275.764,0.0808551528
72379.0,1.0,"Advanced","Rent",0.0,15.0,2911.807120572,0.73069040029198,0.73113550699468,91.0,2.0,5.0,404642.457,0.0809284914
80659.0,1.0,"Bachelors","Other",0.0,0.0,1122.830622585,0.41981355761121,0.24941669659798,58.0,5.0,1.0,252208.13625,0.05044162725
119667.0,1.0,"None","Rent",0.0,9.0,1120.48552096,0.019487828945312,0.53942112280878,56.0,8.0,1.0,269347.481,0.0538694962
19554.0,0.0,"None","Own",0.0,14.0,1761.696830389,0.52591122059163,0.42689562516888,136.0,0.0,0.0,354894.60725,0.07097892145
76979.0,1.0,"Bachelors","Rent",1.0,0.0,1518.471271798,0.60737711306238,0.32849405252283,46.0,1.0,6.0,356114.27575,0.07122285515
162372.0,1.0,"None","Other",0.0,0.0,803.00204452,1.1546635178463,0.471659360973,35.0,10.0,5.0,417360.73,0.083472146
152160.0,1.0,"None","Rent",0.0,0.0,1791.481863861,0.77507882944811,0.35073859384685,45.0,1.0,5.0,281502.49275,0.05630049855
197073.0,1.0,"Bachelors","Other",0.0,0.0,1700.23564958,0.64279894992456,0.48090327204036,68.0,3.0,1.0,352161.485,0.070432297
187304.0,1.0,"None","Own",0.0,0.0,3254.60207784,0.53512380874974,0.17280696360552,84.0,3.0,1.0,360660.69125,0.07213213825
59114.0,0.0,"Bachelors","Rent",0.0,0.0,176.4709341,0.36673483640926,0.33292653485438,71.0,5.0,2.0,294118.2235,0.0588236447
23786.0,1.0,"None","Own",0.0,0.0,1624.891071151,0.50814931867333,0.42660832397411,53.0,5.0,1.0,307511.55775,0.06150231155
26730.0,1.0,"None","Own",0.0,0.0,2146.600615953,1.0560193337737,0.73088114247569,159.0,6.0,2.0,466246.87575,0.09324937515
39334.0,1.0,"None","Other",0.0,0.0,2193.0594612,0.1324856772376,0.6050433302866,37.0,2.0,6.0,388840.33,0.077768066
123623.0,0.0,"None","Own",0.0,0.0,606.046457415,0.24641016532874,0.49448416674408,69.0,4.0,3.0,253788.29875,0.05075765975
139004.0,1.0,"Bachelors","Other",0.0,11.0,1030.314597994,0.8714501723765,0.30301907607899,45.0,3.0,1.0,286516.8515,0.0573033703
111111.0,1.0,"Advanced","Other",0.0,0.0,891.885787345,0.85710785981673,0.45075205420143,87.0,3.0,1.0,351136.13675,0.07022722735
